style-scope src,Link to Commentor Account,Commentor,Comment Date,yt-simple-endpoint href 2,Comment,Likes,Replies
https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@thriftqueen1621,@thriftqueen1621,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwmUaj4f5aR0LsZnb54AaABAg,"2019: The saga ends

2020: Jar Jar’s Revenge",2.5K,17 replies
https://yt3.ggpht.com/ytc/AIdro_nrWKQ_UMbI9w7qOWQxQUnxpFsoupvkQ-90iJK4-EY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@kost9150,@kost9150,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugz6mvF0dGyvm37kZtx4AaABAg,"Palpatine: Our grandchildren will kiss each other.
Anakin: What?
Palpatine:",5.5K,42 replies
https://yt3.ggpht.com/r7gld5Oo4QOsxyEEHtjCS-IslQurZfjU4x4TAof1CUY2Oqg4wJdNyPDya1mj2FrnXAnRlCzbHFQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@BetterTrustSam,@BetterTrustSam,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzShD_16Vc4zf9TB_x4AaABAg,"2019: The Saga Ends
2020: The Saga Strikes Back
2021: Return of the Saga
...",4.9K,68 replies
https://yt3.ggpht.com/b8l6cpTkL--jPfEBGvjGxVGXVEEJNAfXkI5R0EG1502avaN2IegLZhByc2gq-j7k-wR6gLHAkrk=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@justme-lv9tn,@justme-lv9tn,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugz7hgqd6GrqnAhGprp4AaABAg,"Palpatine: No one's ever really gone.

Kenobi: Hello there!",2.3K,18 replies
,https://www.youtube.com/@lightbringer34,@lightbringer34,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxEVXqi63650YbMgLx4AaABAg&pp=0gcJCSIANpG00pGi,"If I don't see Force Ghost Anakin moonwalking across the stars, this whole trilogy will have  been wasted.",7.9K,54 replies
,https://www.youtube.com/@amaani2629,@amaani2629,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugx5Jf1ZlHy5vlj_8jF4AaABAg,"2019: the saga ends
2020: the prequel to the sequels prequel",4.3K,33 replies
,https://www.youtube.com/@mffking9730,@mffking9730,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugx8NfDXKYlgyK_3XbV4AaABAg,"Us: so the story ends here?

Disney: from a certain point of view",2K,18 replies
,https://www.youtube.com/@5thnorthumberlandregimento155,@5thnorthumberlandregimento155,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugzk-mwkjQHueqcPjnd4AaABAg&pp=0gcJCSIANpG00pGi,"The sadest thing about  this movie, is probably that they didn’t add this epic soundtrack.",3.9K,42 replies
,https://www.youtube.com/@mohammedfahd8908,@mohammedfahd8908,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxfFnMW9wMsEraO_eV4AaABAg&pp=0gcJCSIANpG00pGi,"The saga ends


1 year later : Star wars presents : The Chewbacca Story.",2.4K,30 replies
,https://www.youtube.com/@lnjd,@lnjd,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxHdMAG1DHrOWzYIWp4AaABAg&pp=0gcJCSIANpG00pGi,"2019: saga ends

Disney: it’s rewind time",2.7K,17 replies
,https://www.youtube.com/@SoupyXCA,@SoupyXCA,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwCx2kPYSAfxFgAhH94AaABAg,"“The Saga Ends”

Disney: Oh...I’m afraid the next saga will be quite operational when your wallets arrive",2.3K,36 replies
,https://www.youtube.com/@singlechen2678,@singlechen2678,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxoDpItSrzp6nxAEZV4AaABAg,"Disney 2019: ""THE SAGA WILL END""


Star Wars 2040: ""No, I don't think I will.""",1.9K,31 replies
,https://www.youtube.com/@snipzr1743,@snipzr1743,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwHZ63RVbDxG3d33ld4AaABAg&pp=0gcJCSIANpG00pGi,When hulk snapped his fingers he brought palpatine back too,1.6K,22 replies
,https://www.youtube.com/@yrgsmac2232,@yrgsmac2232,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzQJKpKvoIkke4PJ0F4AaABAg,"2019: the saga will end
2020: we didn’t say when",1.4K,11 replies
https://yt3.ggpht.com/ytc/AIdro_m5IHo1fZRf3v8Xt8MSV_ughFIS-CbfVGXH46imog=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lightbringer34,@lightbringer34,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxEVXqi63650YbMgLx4AaABAg&pp=0gcJCSIANpG00pGi,"If I don't see Force Ghost Anakin moonwalking across the stars, this whole trilogy will have  been wasted.",7.9K,54 replies
https://yt3.ggpht.com/ytc/AIdro_k5x9UAZTp0c3yxu70TqvWZOJk7NRDDJYxOnjIVM7LSeBRM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@amaani2629,@amaani2629,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugx5Jf1ZlHy5vlj_8jF4AaABAg,"2019: the saga ends
2020: the prequel to the sequels prequel",4.3K,33 replies
https://yt3.ggpht.com/ytc/AIdro_lX30b-UW13GWAqClaBfd5I92JjNTIj5lkL1OJ9r0KvIQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mffking9730,@mffking9730,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugx8NfDXKYlgyK_3XbV4AaABAg,"Us: so the story ends here?

Disney: from a certain point of view",2K,18 replies
https://yt3.ggpht.com/Z5PfcXg_sJk1J-PmiTS6fuVj83tHmpyjpFGvzI_PijAFBu3SFFiui2BkRYewRKOVt7RTXao3jw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@5thnorthumberlandregimento155,@5thnorthumberlandregimento155,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugzk-mwkjQHueqcPjnd4AaABAg&pp=0gcJCSIANpG00pGi,"The sadest thing about  this movie, is probably that they didn’t add this epic soundtrack.",3.9K,42 replies
https://yt3.ggpht.com/ytc/AIdro_kOnyORnJQ-zWoLFOlhl6wHOb0r4khFyf_vW5BLZPvHq5I=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mohammedfahd8908,@mohammedfahd8908,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxfFnMW9wMsEraO_eV4AaABAg&pp=0gcJCSIANpG00pGi,"The saga ends


1 year later : Star wars presents : The Chewbacca Story.",2.4K,30 replies
https://yt3.ggpht.com/NqwnwpMplb90wmoxgQcOoopDgaZ8KHYgQHOo9C9Pc196k303QyPUZhLYdLzS6-d7x_e5uhKL=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lnjd,@lnjd,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxHdMAG1DHrOWzYIWp4AaABAg&pp=0gcJCSIANpG00pGi,"2019: saga ends

Disney: it’s rewind time",2.7K,17 replies
https://yt3.ggpht.com/ytc/AIdro_l3c9iSZdyH6-XbSwZdLAYYTocCKwbnTD5m1pjZf8qwWA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@SoupyXCA,@SoupyXCA,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwCx2kPYSAfxFgAhH94AaABAg,"“The Saga Ends”

Disney: Oh...I’m afraid the next saga will be quite operational when your wallets arrive",2.3K,36 replies
https://yt3.ggpht.com/ytc/AIdro_nqoi2Xheitbgj3NpTw1AlQZ6j3SB-DmxU30sRj8zU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@singlechen2678,@singlechen2678,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxoDpItSrzp6nxAEZV4AaABAg,"Disney 2019: ""THE SAGA WILL END""


Star Wars 2040: ""No, I don't think I will.""",1.9K,31 replies
https://yt3.ggpht.com/7YPNVjB0SPyaRVbWyyOMU53r_mit5p_3lTNyOB2k5mMgEN4zSEdWgO7o5jDq82DDXhBoefis08g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@snipzr1743,@snipzr1743,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwHZ63RVbDxG3d33ld4AaABAg&pp=0gcJCSIANpG00pGi,When hulk snapped his fingers he brought palpatine back too,1.6K,22 replies
https://yt3.ggpht.com/ytc/AIdro_nGIpKCA4uSSIgqom9SwIOyNzb6IuxFcbqKl9V-3RbkpHE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@yrgsmac2232,@yrgsmac2232,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzQJKpKvoIkke4PJ0F4AaABAg,"2019: the saga will end
2020: we didn’t say when",1.4K,11 replies
https://yt3.ggpht.com/N0Z1huBLhB4tplM7kn2R1ZcH_4JM5-RRkzaaH2ehBUxVuYhXc1GO6N7K2XompvJu1d4wqLtA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@HanisGamingofficial,@HanisGamingofficial,4 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgycMyDaS8BrG7eZ7RV4AaABAg,"2019: The saga will end.
2029: The star and the Wars.
2034: 2 Stars 2 wars.
2037: The fate of Star wars.
2039: Star wars presents Hobbs & Shaw.",5.8K,62 replies
https://yt3.ggpht.com/ytc/AIdro_lUhE-GkNzvcGx-SbITQS48gZ9M43b5iywYB62Pa23xEfQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@BenizRandom,@BenizRandom,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwCSAr5Ru_MqDSK-ZJ4AaABAg,"2019: ""the saga ends""


2021: Star wars: The Prequels To The Prequels",2K,24 replies
https://yt3.ggpht.com/ytc/AIdro_mEBpomXoXT-_rbdfGNDfBWrTjtDlHyHEE21o_adeW0oQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@johnrambo6296,@johnrambo6296,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugxt2fS9xxZk4iIOD8x4AaABAg,"2019: The Saga Ends
2024: Star Wars : “I Didn’t Say ‘Simon Says’”",2.1K,16 replies
https://yt3.ggpht.com/ytc/AIdro_nKMMs-c8H7Em3GMuQyMJkJZPWsf31XF60-r2JoaZ3cpA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@_xxpigmenplaysxx_,@_xxpigmenplaysxx_,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwXdW91ou8SruNGxvp4AaABAg,What i've learned from the sequels: John Williams never lets you down,2.2K,24 replies
https://yt3.ggpht.com/ytc/AIdro_num1_fs_K9xGxArZwW2bdlAyqCFt5qh4HnCBm2yWEGjRs=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@EpicPinkCreeper,@EpicPinkCreeper,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwpHU1fpv__T1H75514AaABAg,"2019: the saga ends

3019: the story of that one stormtrooper whose foot was on screen for a second",1.3K,17 replies
,https://www.youtube.com/@SomewhatSlightlyBored,@SomewhatSlightlyBored,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzM-MAeigxzRJphTv94AaABAg,Star Wars: Return of the Senate.,3.1K,29 replies
,https://www.youtube.com/@drag0nerd,@drag0nerd,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzORir_zyvsFRLXcM54AaABAg,"""The saga will end, the story lives forever.""


Disney: Well, yes, but actually no.",2K,13 replies
,https://www.youtube.com/@Stxr45,@Stxr45,5 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxWzI2LT0OmHFADyfV4AaABAg,"“Confronting Sand , is the destiny of a Skywalker” 
-Luke Skywalker 2019",2.2K,12 replies
,https://www.youtube.com/@marcosmb570,@marcosmb570,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugw9-CTzWpq1TTsUVs54AaABAg,"I keep going back to this trailer just for the music, it’s honestly a master piece",3.9K,31 replies
,https://www.youtube.com/@postyyy3258,@postyyy3258,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgyJUuAkDSUm7S9llIR4AaABAg,The music for this trailer should’ve been in the movie,2.4K,27 replies
,https://www.youtube.com/@andylu4868,@andylu4868,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwLOjsLCJH5VEQe1Ah4AaABAg,"Disney now: The saga ends

Disney later: There is another",1.5K,13 replies
,https://www.youtube.com/@dotdev_fake,@dotdev_fake,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzjQGfvEKe5zVbdsf14AaABAg,"3 hours later
""1 million things you missed in the trailer""",859,23 replies
,https://www.youtube.com/@GoonaTVhi,@GoonaTVhi,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwhtvcNB56Fwi3IA414AaABAg,"""The saga will end""


Disney in two years: Dexter Jettster A star wars story",1.5K,8 replies
,https://www.youtube.com/@mathieuleader8601,@mathieuleader8601,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwhQfKkhL19P5YjhQ14AaABAg,Imagine if the future film trilogy ends on it being just a Jar-Jar Binks fever dream,1.7K,26 replies
https://yt3.ggpht.com/ytc/AIdro_mfXltF9TSTLJ9TmYlz24HOL_yOl-5_PrAjD0j3lOjIDA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@SomewhatSlightlyBored,@SomewhatSlightlyBored,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzM-MAeigxzRJphTv94AaABAg,Star Wars: Return of the Senate.,3.1K,29 replies
https://yt3.ggpht.com/wmp92JCkxJn0-wRlc1DTPKetywO0xgqjcaO3H37VTaU6kR4K-zSIlSUYThzU3KzErvFYHiKcx80=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@drag0nerd,@drag0nerd,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzORir_zyvsFRLXcM54AaABAg,"""The saga will end, the story lives forever.""


Disney: Well, yes, but actually no.",2K,13 replies
https://yt3.ggpht.com/lrW0xcD06sfPxZbuwUhDJTR3ha3HnTZvB_4oou8iplnJjy4QPGCiWkgZkb_0ztEEGmQ-MHhrRtQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Stxr45,@Stxr45,5 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxWzI2LT0OmHFADyfV4AaABAg,"“Confronting Sand , is the destiny of a Skywalker” 
-Luke Skywalker 2019",2.2K,12 replies
https://yt3.ggpht.com/ytc/AIdro_nTNO9IfIKRgiZjwwurgwYmIfPWF_NPCqxZURbb7MhnXA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@marcosmb570,@marcosmb570,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugw9-CTzWpq1TTsUVs54AaABAg,"I keep going back to this trailer just for the music, it’s honestly a master piece",3.9K,31 replies
https://yt3.ggpht.com/ytc/AIdro_koa84K-FGaaZBb4-qoWgGGULmr8dEnSjsCWWsG2K0xng=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@postyyy3258,@postyyy3258,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgyJUuAkDSUm7S9llIR4AaABAg,The music for this trailer should’ve been in the movie,2.4K,27 replies
https://yt3.ggpht.com/ytc/AIdro_kAJ5y7FjapFximJlRxNy54M4HCrs9iQVGEMSRItbSBvi4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@andylu4868,@andylu4868,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwLOjsLCJH5VEQe1Ah4AaABAg,"Disney now: The saga ends

Disney later: There is another",1.5K,13 replies
https://yt3.ggpht.com/8GkGIPVPOrd6L97TY736Xrj5Eje9ZVOChN6apZSToYqTwqRTdrJe44sPDHeEjKoSNYZ1jRTx=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@dotdev_fake,@dotdev_fake,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzjQGfvEKe5zVbdsf14AaABAg,"3 hours later
""1 million things you missed in the trailer""",859,23 replies
https://yt3.ggpht.com/ytc/AIdro_kou3dO5GhrvBQru7jrDY7-p0Ls3-FwpdfJn_A0CdgtFmBIy5ofV2XYbnym-k-Zi8t6WA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@GoonaTVhi,@GoonaTVhi,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwhtvcNB56Fwi3IA414AaABAg,"""The saga will end""


Disney in two years: Dexter Jettster A star wars story",1.5K,8 replies
https://yt3.ggpht.com/ytc/AIdro_k6IcBWKobY1OowDwxKTb8Bph8smIK0yFPCc5J3VNk=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mathieuleader8601,@mathieuleader8601,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwhQfKkhL19P5YjhQ14AaABAg,Imagine if the future film trilogy ends on it being just a Jar-Jar Binks fever dream,1.7K,26 replies
https://yt3.ggpht.com/ytc/AIdro_lOJrOOZLVxUoWvVhnkcoH4F3TuAjtm2SmOFcwYV2kwrw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jjthomchickmusic,@jjthomchickmusic,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzGoUmlsP8OAmdlE9V4AaABAg,"Adam Driver: how often should I hold my lightsaber backwards?


Choreographers: Yes",932,8 replies
https://yt3.ggpht.com/BCG7HVkV7d6yTctnduXGhylq43h2xMyb1erlmfl46IRc2mBrTpXLnkMxhtKt-dVr9ItfiNXF5A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@brigham1465,@brigham1465,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxwJyMsPnp_V_JBmX94AaABAg,so C-3PO sounding like he's about to kill himself,846,28 replies
https://yt3.ggpht.com/ytc/AIdro_mz3AesZZHNkDOBmFCj1SDpzNptxvM6T2IWCnWKYrBVxQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@blilloo8410,@blilloo8410,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugz1clLM87L26mutfC14AaABAg,"The saga ends


Disney: “Bib Fortuna, a star wars story”",1.6K,29 replies
https://yt3.ggpht.com/ytc/AIdro_nGqmewZk5UaRbYEPdzgWVeFMI803yCWhAPD5dbCcXV6xY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Tatrin,@Tatrin,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgySuo76xwo4AcaIw2V4AaABAg,"2019: the saga ends
2021: Star Wars Stories: the tragedy of Darth Plagueis the Wise",1.3K,18 replies
https://yt3.ggpht.com/mZi4AlC0I7mk33olOL61n_h-xUQygicY1ArfuynQxITu_uB8yLNsg6cbpMqMwR-5SVy7UcTKqQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Koje.,@Koje.,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugzt8er9ISRtrf73DEJ4AaABAg,"literally every comment


2019: a saga ends
2065: the rise of chewbacca",1K,11 replies
,https://www.youtube.com/@tejassingh1241,@tejassingh1241,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwL2cvAtc6uLZEygBV4AaABAg,"2019: The Saga Ends
2020: Star Wars: a newER hope",1K,5 replies
,https://www.youtube.com/@spinner2168,@spinner2168,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugx0flFB-BvFwmZCNv14AaABAg,"2019: A Saga Ends


2040: Emperor Palpatine will return in Star Wars: Revenge of the Senate",2.4K,27 replies
,https://www.youtube.com/@benfielding4713,@benfielding4713,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugzr1rM3CU3vOti4xf54AaABAg,"star wars saga ends
2 years later: gonk droid: a star wars story",1.2K,13 replies
